Player,Position
David Johnson,RB
Ezekiel Elliott,RB
LeSean McCoy,RB
DeMarco Murray,RB
Le'Veon Bell,RB
Aaron Rodgers,QB
Devonta Freeman,RB
LeGarrette Blount,RB
Melvin Gordon,RB
Matt Ryan,QB
Mike Evans,WR
Jordy Nelson,WR
Antonio Brown,WR
Jordan Howard,RB
Mark Ingram,RB
Odell Beckham,WR
Drew Brees,QB
Jay Ajayi,RB
TY Hilton,WR
Frank Gore,RB
Latavius Murray,RB
Julio Jones,WR
Travis Kelce,TE
Davante Adams,WR
Isaiah Crowell,RB
Carlos Hyde,RB
Greg Olsen,TE
Brandin Cooks,WR
Andrew Luck,QB
Spencer Ware,RB
Lamar Miller,RB
Kyle Rudolph,TE
Kirk Cousins,QB
Michael Thomas,WR
Doug Baldwin,WR
Jimmy Graham,TE
Jeremy Hill,RB
Todd Gurley,RB
Delanie Walker,TE
Tevin Coleman,WR
Matt Forte,RB
Michael Crabtree,WR
Amari Cooper,WR
Dak Prescott,QB
Cameron Brate,TE
Martellus Bennett,TE
Rishard Matthews,WR
Tyrell Williams,WR
Jonathan Stewart,RB
Terrance West,RB
Zach Ertz,TE
Jordan Reed,TE
Matthew Stafford,QB
Bilal Powell,WR
Terrelle Pryor,WR
Tyreek Hill,WR
Jarvis Landry,WR
Ryan Mathews,RB
Larry Fitzgerald,WR
Demaryius Thomas,WR
Kelvin Benjamin,WR
Dez Bryant,WR
Emmanuel Sanders,WR
Hunter Henry,TE
Julian Edelman,WR
Golden Tate,WR
Antonio Gates,TE
Mike Wallace,WR
Tyrod Taylor,QB
Derek Carr,QB
Blake Bortles,QB
Russell Wilson,QB
Kenny Britt,WR
Kenny Stills,WR
Coby Fleener,TE
Robert Kelley,RB
Allen Robinson,WR
Marcus Mariota,QB
Ben Roethlisberger,QB
Philip Rivers,QB
Jameis Winston,QB
Tom Brady,QB
Andy Dalton,QB
Cam Newton,QB
Carson Palmer,QB
Joe Flacco,QB
Eli Manning,QB
Alex Smith,QB
Sam Bradford,QB
Carson Wentz,QB
Colin Kaepernick,QB
Trevor Siemian,QB
Ryan Tannehill,QB
Brock Osweiler,QB
Ryan Fitzpatrick,QB
Adam Thielen,WR
Jamison Crowder,WR
DeSean Jackson,WR
Pierre Garcon,WR
Brandon LaFell,WR
AJ Green,WR
Willie Snead,WR
DeAndre Hopkins,WR
Sterling Shepard,WR
Mike Gillislee,RB
Marvin Jones,WR
Christine Michael,RB
Steve Smith,WR
Cole Beasley,RB
Case Keenum,QB
Cameron Meredith,WR
Devontae Booker,RB
Quincy Enunwa,WR
Darren Sproles,RB
Stefon Diggs,WR
Marqise Lee,WR
Theo Riddick,RB
Tim Hightower,RB
Jerick McKinnon,RB
JJ Nelson,WR
Anquan Boldin,WR
Taylor Gabriel,WR
Ted Ginn,WR
Dontrelle Inman,WR
James White,RB
Rashad Jennings,RB
Jordan Matthews,WR
DeVante Parker,WR
Matt Asiata,RB
Chris Thompson,RB
Brandon Marshall,WR
Ty Montgomery,WR
Alshon Jeffery,WR
Derrick Henry,RB
Chris Hogan,WR
Duke Johnson,RB
Mohamed Sanu,WR
Tavon Austin,WR
Randall Cobb,WR
TJ Yeldon,RB
CJ Anderson,RB
Jalen Richard,RB
Jack Doyle,TE
Travis Benjamin,WR
DeAngelo Williams,RB
Giovani Bernard,RB
Eric Ebron,TE
Jeremy Kerley,WR
Tyler Lockett,WR
Dennis Pitta,TE
Jason Witten,TE
Robert Turbin,RB
Michael Floyd,WR
Terrance Williams,WR
Shaun Draughn,RB
CJ Fiedorowicz,TE
Brian Hoyer,QB
Dwayne Allen,TE
Charles Clay,TE
Cody Kessler,QB
Adam Humphries,WR
Jacquizz Rodgers,RB
Eli Rogers,WR
Gary Barnidge,TE
Will Fuller,WR
Chris Ivory,RB
Zach Zenner,RB
Brian Quick,WR
Seth Roberts,WR
Robby Anderson,WR
Blaine Gabbert,QB
Zach Miller,TE
Donte Moncrief,WR
Kenneth Dixon,RB
Rob Gronkowski,TE
Doug Martin,RB
Matt Barkley,QB
Tyler Boyd,WR
Vernon Davis,WR
Damien Williams,RB
Tyler Eifert,TE
Jeremy Maclin,WR
Breshad Perriman,WR
DeAndre Washington,RB
Robert Woods,WR
Matt Jones,RB
Phillip Dorsett,WR
Robert Griffin,QB
Allen Hurns,WR
Charcandrick West,RB
John Brown,WR
Malcolm Mitchell,RB
Tajae Sharpe,WR
Victor Cruz,WR
Devin Funchess,WR
Vance McDonald,TE
Thomas Rawls,RB
Cordarrelle Patterson,WR
Paul Perkins,RB
Marquise Goodwin,WR
Kendall Wright,WR
Corey Coleman,WR
Lance Kendricks,TE
Rex Burkhead,RB
Sammie Coates,WR
Jermaine Kearse,WR
Matt Moore,QB
Jesse James,TE
Sammy Watkins,WR
Travaris Cadet,RB
Ryan Griffin,TE
Jeremy Langford,RB
Clive Walford,TE
Chris Conley,WR
Jared Goff,QB
Nelson Agholor,WR
Josh McCown,QB
Julius Thomas,TE
Garrett Celek,TE
Dorial Green-Beckham,WR
Jermaine Gresham,TE
Albert Wilson,WR
Alfred Blue,RB
Andrew Hawkins,WR
Dion Sims,TE
Eddie Royal,WR
Danny Amendola,WR
Jay Cutler,QB
Austin Hooper,TE
Russell Shepard,WR
Fozzy Whittaker,RB
Brandon Coleman,WR
Will Tye,TE
Jamize Olawale,RB
Torrey Smith,WR
Justin Hardy,WR
CJ Prosise,RB
Aldrick Robinson,WR
Charles Sims,RB
Justin Hunter,WR
Jared Cook,TE
Justin Forsett,RB
James Starks,RB
John Kuhn,RB
Quinton Patton,WR
Wendell Smallwood,RB
Brice Butler,WR
Aaron Ripkowski,RB
Kamar Aiken,WR
Trey Burton,TE
Eddie Lacy,RB
Richard Rodgers,TE
Jacob Tamme,TE
Dwayne Washington,RB
Josh Bellamy,WR
Ladarius Green,TE
Dion Lewis,RB
Levine Toilolo,TE
Kyle Juszczyk*,RB
Alfred Morris,RB
Erik Swoope,TE
Kenyan Drake,RB
Jimmy Garoppolo,QB
Cobi Hamilton,WR
Darrius Heyward-Bey,WR
Paul Richardson,WR
Deonte Thompson,WR
Landry Jones,QB
Bryan Walters,WR
Geronimo Allison,WR
Corey Brown,WR
Corey Grant,RB
Bryce Petty,QB
Peyton Barber,RB
Eric Decker,WR
Andre Holmes,WR
Rod Streater,WR
Jordan Taylor,WR
Virgil Green,TE
Kenjon Barner,RB
CJ Uzomah,TE
Cameron Artis-Payne,RB
