Player,Team,Opponent,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD,Week
Andrew Luck,IND,@DET,4300,47,31,385,4,0,1,3,21,0,0,0,0,0,0,0,0,1
Drew Brees,NO,@OAK,3900,42,28,423,4,0,0,2,5,0,0,0,0,0,0,1,0,1
Jameis Winston,TB,ATL,3300,32,23,281,4,1,0,4,3,0,0,0,0,0,0,0,0,1
Matthew Stafford,DET,IND,3100,39,31,340,3,0,0,2,5,0,0,0,0,0,0,0,0,1
Alex Smith,KC,@SD,3100,48,34,363,2,1,0,4,15,1,0,0,0,0,0,0,0,1
DeAngelo Williams,PIT,WAS,2800,0,0,0,0,0,0,26,143,2,0,6,28,0,0,0,0,1
Matt Ryan,ATL,@TB,2800,39,27,334,2,0,1,3,10,0,0,0,0,0,0,0,0,1
Ben Roethlisberger,PIT,WAS,2800,37,27,300,3,1,0,1,-2,0,0,0,0,0,0,0,0,1
Brandin Cooks,NO,@OAK,2700,0,0,0,0,0,0,1,11,0,0,6,143,2,0,0,0,1
Aaron Rodgers,GB,JAX,2600,34,20,199,2,0,0,4,16,1,0,0,0,0,0,0,0,1
Spencer Ware,KC,@SD,2500,0,0,0,0,0,0,11,70,1,0,7,129,0,0,0,0,1
CJ Anderson,DEN,@CAR,2500,0,0,0,0,0,0,20,92,1,0,4,47,1,0,0,0,1
Eli Manning,NYG,DAL,2400,28,19,207,3,1,0,0,0,0,0,0,0,0,0,0,0,1
AJ Green,CIN,NYJ,2400,0,0,0,0,0,0,0,0,0,0,12,180,1,0,0,0,1
Antonio Brown,PIT,WAS,2400,0,0,0,0,0,0,0,0,0,0,8,126,2,0,0,0,1
Carson Wentz,PHI,@CLE,2300,37,22,278,2,0,0,2,1,0,0,0,0,0,0,0,0,1
Willie Snead,NO,@OAK,2300,0,0,0,0,0,0,0,0,0,0,9,172,1,0,0,0,1
Derek Carr,OAK,NO,2300,38,24,319,1,0,2,2,16,0,0,0,0,0,0,0,0,1
Theo Riddick,DET,IND,2200,0,0,0,0,0,0,7,45,1,0,5,63,1,0,0,0,1
Carson Palmer,ARI,@NE,2200,37,24,271,2,0,0,2,1,0,0,0,0,0,0,0,0,1
Cam Newton,CAR,DEN,2200,33,18,194,1,1,0,11,54,1,0,0,0,0,0,0,0,1
Brock Osweiler,HOU,@CHI,2000,35,22,231,2,1,0,4,14,0,0,0,0,0,0,0,0,1
Marcus Mariota,TEN,@MIN,2000,41,25,271,2,1,0,4,19,0,0,0,0,0,0,1,0,1
Carlos Hyde,SF,@LA,2000,0,0,0,0,0,0,23,88,2,0,2,5,0,0,0,0,1
Larry Fitzgerald,ARI,@NE,2000,0,0,0,0,0,0,0,0,0,0,8,81,2,0,0,0,1
DeMarco Murray,TEN,@MIN,1800,0,0,0,0,0,0,13,42,0,0,5,35,2,0,1,0,1
David Johnson,ARI,@NE,1800,0,0,0,0,0,0,16,89,1,0,4,43,0,0,0,0,1
Ryan Fitzpatrick,NYJ,@CIN,1800,35,19,189,2,1,0,4,15,0,0,0,0,0,0,0,0,1
Andy Dalton,CIN,NYJ,1800,30,23,366,1,1,0,3,7,0,0,0,0,0,0,0,0,1
Danny Woodhead,SD,KC,1700,0,0,0,0,0,0,16,89,0,0,5,31,1,0,0,0,1
Jordan Matthews,PHI,@CLE,1700,0,0,0,0,0,0,0,0,0,0,7,114,1,0,0,0,1
Melvin Gordon,SD,KC,1700,0,0,0,0,0,0,14,57,2,0,0,0,0,0,0,0,1
Ameer Abdullah,DET,IND,1700,0,0,0,0,0,0,12,63,0,0,5,57,1,0,0,0,1
Mike Wallace,BAL,@BUF,1600,0,0,0,0,0,0,1,11,0,0,3,91,1,0,0,0,1
